averageTTL,cons,life,Domain Name,active
236,1,24.996577686516083,zweibrueder.com,24.071184120465436
48,1,5.9986310746064335,bfxkp.com,4.577686516084873
57,1,18.99794661190965,ojospa.com,17.010266940451746
56,1,17.998631074606433,britainsfinest.co.uk,16.0
56,1,5.9986310746064335,brookvilleclassiclimos.com,4.985626283367557
56,1,16.0,thebreslin.com,13.995893223819301
116,2,12.0,hrrelief.net,10.072553045859001
56,2,9.998631074606434,opportunitydesk.org,7.901437371663245
244,1,20.175222450376456,entreleadership.com,19.080082135523615
56,1,24.0,andhrajyothy.com,18.989733059548254
111,1,0.999315537303217,f1-jeumobile.com,0.0
56,1,24.0,fridakahlo.org,20.87337440109514
56,1,11.997262149212867,decorhacks.com,11.000684462696784
56,1,22.99794661190965,leclaireur.com,21.385352498288842
39,1,13.998631074606434,tadao-ando.com,12.985626283367557
41,1,4.999315537303217,coffeehouse-s.com,3.9890485968514717
56,1,1.998631074606434,comfybigsize.com,0.6899383983572895
43,1,12.0,czfzzx.com,11.000684462696784
56,1,13.998631074606434,tedxsydney.com,13.00479123887748
56,1,28.996577686516083,towerhillbg.org,23.71526351813826
48,1,16.999315537303218,hipolitix.com,15.603011635865846
46,1,4.999315537303217,alborzshimi.com,0.0
47,1,9.998631074606434,avicolabacco.com,9.00205338809035
46,1,26.001368925393567,detecon.com,25.00479123887748
49,1,0.999315537303217,michaelkorshandbagsonsale.com,1.002053388090349
57,1,13.998631074606434,tobifairley.com,13.64271047227926
57,1,15.000684462696784,pensionplanpuppets.com,13.990417522245037
56,1,8.999315537303216,nrafamily.org,7.958932238193018
56,1,24.0,fitness-superstore.co.uk,19.40041067761807
47,1,11.000684462696784,hnor.co.uk,7.759069130732375
56,1,12.999315537303216,sponsume.com,12.673511293634498
50,1,24.0,crystalmeth.org,20.876112251882272
56,1,15.000684462696784,operaphila.org,13.83709787816564
50,3,0.999315537303217,xxx565.top,0.0
56,1,22.99794661190965,familydaysout.com,17.686516084873375
48,1,23.000684462696782,superflex.net,20.917180013689254
51,2,4.0,yaarsong.net,3.6139630390143735
119,1,17.998631074606433,tekepon.net,17.71937029431896
43,1,17.998631074606433,gowaterfalling.com,16.958247775496236
43,1,12.999315537303216,ncfzjz.com,11.989048596851472
23,1,2.9979466119096507,dustbury.com,0.947296372347707
46,1,26.001368925393567,murrelektronik.com,25.00479123887748
56,1,12.999315537303216,economicnewsarticles.org,12.084873374401095
57,1,27.99726214921287,rainbowlight.com,24.194387405886378
56,1,0.999315537303217,lrxbuycialisonline.com,0.0
56,1,28.00273785078713,santacruz.com,27.006160164271048
56,1,24.996577686516083,davidbach.com,20.407939767282684
242,1,23.000684462696782,beknown.com,21.99041752224504
241,1,16.0,billygrahamlibrary.org,14.921286789869953
56,1,13.995893223819301,azealiabanks.com,12.405201916495551
56,1,29.00205338809035,kpig.com,27.006160164271048
50,1,22.05886379192334,epson.ca,19.972621492128678
45,1,26.001368925393567,oxnard.org,25.097878165639973
45,1,28.298425735797398,penair.com,19.09924709103354
56,1,15.000684462696784,adamandcheri.com,13.900068446269678
56,1,23.000684462696782,anphoblacht.com,21.960301163586585
49,1,0.999315537303217,businesscarddiscounts.com,0.0
119,1,13.998631074606434,fertilityauthority.com,13.637234770704996
47,1,24.996577686516083,bostonhistory.org,24.0
48,1,0.999315537303217,tmedworld.com,0.0
107,1,20.999315537303218,kathimitchell.com,18.986995208761122
55,1,21.998631074606433,marketlive.com,20.00273785078713
56,1,4.999315537303217,mystoryday.com,4.0
115,1,22.99794661190965,albanyny.org,20.996577686516083
57,2,12.0,keesenlandscape.com,10.38466803559206
57,1,10.99794661190965,divvyhq.com,10.001368925393566
56,1,20.0,thewinningzone.net,15.003422313483915
52,1,16.996577686516083,9y66.com,13.618069815195073
45,1,19.000684462696782,goftp.com,18.0041067761807
114,1,1.998631074606434,gonencymm.com,0.9664613278576317
108,1,0.999315537303217,58bba.com,0.0
49,1,0.999315537303217,filmtele.com,0.03559206023271732
41,1,20.999315537303218,zamandayolculuk.com,20.027378507871322
48,1,0.9965776865160849,ghdhairstraightener.cc,0.0
115,1,1.995893223819302,markedtreear.com,0.9691991786447639
56,1,17.998631074606433,monk.com.ua,16.878850102669404
116,1,0.999315537303217,danceaution.com,0.019164955509924708
48,1,0.999315537303217,magaexpress.com,1.0047912388774811
56,1,13.995893223819301,hailmaryjane.com,13.423682409308693
50,1,13.998631074606434,productionadvice.co.uk,12.917180013689254
56,1,26.001368925393567,bodycandy.com,16.895277207392198
57,1,15.997262149212867,slightlymadstudios.com,12.933607118412047
57,1,28.996577686516083,trailways.com,23.006160164271048
52,2,20.0,pplware.com,14.97056810403833
48,4,8.999315537303216,sssscomic.com,7.923340177960301
56,1,0.999315537303217,torilsdesign.com,0.0054757015742642025
238,1,24.0,massmind.org,21.982203969883642
231,1,1.998631074606434,theme-next.org,0.8624229979466119
40,1,22.99794661190965,chinafsl.com,20.813141683778234
51,1,15.000684462696784,fairewinds.org,13.938398357289527
52,1,23.99726214921287,thecapitalgroup.com,22.89664613278576
50,1,8.999315537303216,soccerage.com,7.132101300479124
116,1,34.997946611909654,meditech.com,29.555099247091032
111,1,0.999315537303217,gyncahub.com,0.0
49,1,27.132101300479125,mosquitonet.com,26.086242299794662
47,1,14.99794661190965,eoht.info,13.878165639972622
56,1,8.999315537303216,randomuser.me,7.917864476386037
46,1,26.99794661190965,portugal.org,25.919233401779604
46,1,5.9986310746064335,unroadsafetyweek.org,5.508555783709788
106,1,17.998631074606433,whiteband.org,17.557837097878167
116,1,12.996577686516085,emucr.com,11.986310746064339
56,1,9.995893223819301,yello.co,8.969199178644764
49,1,27.000684462696782,ircle.com,26.0041067761807
47,1,25.998631074606433,asianinfo.org,18.444900752908968
57,1,22.001368925393567,worketc.com,17.880903490759753
47,1,30.99794661190965,biblelife.org,21.503080082135522
56,1,20.999315537303218,treemenu.net,20.00273785078713
47,1,12.0,ascancg.org,11.003422313483915
49,1,16.0,fitfarms.co.uk,15.003422313483915
52,1,0.999315537303217,mp3toyss.pw,0.12320328542094455
56,1,24.0,esapubs.org,20.876112251882272
51,1,20.999315537303218,demosthenes.info,20.01095140314853
42,1,10.99794661190965,briarproject.org,8.980150581793293
56,1,20.0,spampal.org,19.000684462696782
43,1,20.999315537303218,exit1.org,20.33675564681725
51,1,16.0,singaporeairshow.com,14.715947980835045
49,1,12.0,linuxelectrons.com,10.652977412731007
51,1,12.996577686516085,cumblastcity.com,12.0
