Domain Name,averageTTL,life,cons,active
readingthepictures.org,57,10.001368925393566,1,5.004791238877481
nexteer.com,35,16.0,1,9.010266940451745
ontotext.com,103,21.998631074606433,1,21.776865160848732
thetechedvocate.org,56,5.9986310746064335,1,5.002053388090349
coastspinemedicine.com,57,11.000684462696784,1,10.004106776180699
officialcapitals.com,48,4.996577686516085,2,4.0
glc.org,56,28.996577686516083,1,27.83299110198494
carlcox.com,48,27.000684462696782,1,22.50513347022587
officialstarsproonline.com,56,3.0006844626967832,2,1.9356605065023955
gregorybraun.com,56,24.0,1,21.968514715947983
incisivemedia.com,56,21.998631074606433,1,20.98836413415469
teledyne.com,109,27.003422313483917,1,26.00684462696783
thekrib.com,46,23.99726214921287,1,22.937713894592743
apple2history.org,49,21.998631074606433,2,20.914442162902123
gabrio.com,241,24.0,1,22.798083504449007
ahomeyoucanbuy.com,49,1.998631074606434,1,0.8569472963723477
fuelcells.org,56,27.000684462696782,1,25.932922655715263
dc-unlocker.com,50,19.000684462696782,1,13.568788501026694
cpchem.com,25,22.99794661190965,1,20.98836413415469
hyperboards.com,56,20.079397672826833,1,19.085557837097877
ogame.org,49,20.0,1,19.003422313483917
conference-service.com,46,16.999315537303218,1,16.00273785078713
bniso.com,49,11.000684462696784,1,10.143737166324435
pp10086.com,47,13.995893223819301,2,12.65160848733744
daikuan018.com,56,1.998631074606434,1,1.2922655715263518
flashx.tv,49,11.000684462696784,1,9.557837097878165
bndaily.com,43,18.001368925393567,1,14.45037645448323
jrtk.jp,39,22.012320328542096,1,21.01574264202601
xinglisyby.com,42,1.998631074606434,1,0.9664613278576317
boatshopuk.co.uk,52,20.0,1,17.919233401779604
brbpublications.com,111,19.000684462696782,1,18.0041067761807
httpserveur.net,51,21.998631074606433,2,20.569472963723477
wholesaleonepiece.com,119,12.999315537303216,1,12.240930869267626
kiees.com,49,19.000684462696782,1,14.116358658453114
25gx.com,36,16.999315537303218,1,15.419575633127995
moibbk.com,49,7.000684462696783,1,5.8726899383983575
gaadiwaadi.com,52,14.99794661190965,2,5.9110198494182065
avex.co.jp,244,29.04312114989733,1,28.046543463381244
alkhair-yemen.org,56,12.0,1,10.99794661190965
bengalcatforums.com,51,18.99794661190965,1,17.97946611909651
moritz.com,50,26.99794661190965,1,25.984941820670773
plathome.co.jp,42,28.01095140314853,1,27.014373716632445
beginnersbook.com,56,11.000684462696784,1,5.9110198494182065
heavenlyhomemakers.com,56,14.99794661190965,1,14.001368925393566
asiarobot.net,106,8.999315537303216,1,7.98631074606434
peluangpoker.online,49,2.9979466119096507,1,1.9274469541409993
radiocable.com,44,24.996577686516083,1,19.967145790554415
aquademand.com,113,1.998631074606434,1,0.999315537303217
dvdclassik.com,51,28.999315537303218,1,19.236139630390145
lecourrierderussie.com,57,16.0,1,11.964407939767282
mariamindbodyhealth.com,50,8.999315537303216,1,8.002737850787133
ididitinc.com,49,25.998631074606433,1,25.00205338809035
riodedios.tv,47,5.9986310746064335,1,5.002053388090349
