Domain Name,life,averageTTL,cons,active
newageinfo.com,28.00273785078713,49,1,26.9596167008898
nnhaoda.com,8.999315537303216,40,2,6.562628336755647
productdesignforums.com,19.000684462696782,45,1,17.95482546201232
zellers.com,28.00273785078713,48,1,26.915811088295687
pumaracing.co.uk,5.9986310746064335,56,1,5.040383299110198
beststungun.com,19.000684462696782,52,1,18.0041067761807
chpower.com,24.993839835728952,119,1,23.16495550992471
fightanxiety2013.com,3.0006844626967832,52,1,1.9575633127994525
lendroid.com,5.9986310746064335,56,1,3.7152635181382614
maybombinhduong.com,5.9986310746064335,44,1,4.982888432580425
rebreatherworld.com,17.9958932238193,47,1,16.999315537303218
searscentre.com,18.99794661190965,47,1,16.98836413415469
tangozarry.com,1.002053388090349,52,1,0.0027378507871321013
pharmacy-canadianonline.info,0.999315537303217,116,1,0.019164955509924708
named-data.net,12.0,57,1,11.003422313483915
weight-loss-center.net,16.996577686516083,45,1,16.0
d-rev.org,13.998631074606434,119,1,12.02464065708419
health-forums.org,13.998631074606434,109,1,12.996577686516085
jeffreyarcher.co.uk,24.999315537303218,56,1,23.59479808350445
cardiologymeeting.com,7.000684462696783,56,1,5.9986310746064335
ericweiss.com,23.000684462696782,42,1,21.960301163586585
gets.com,32.0,49,1,22.247775496235455
proboards49.com,4.0,50,1,3.1156741957563314
reston.com,28.00273785078713,52,1,26.921286789869953
spyw.com,21.998631074606433,50,1,21.295003422313485
twittergrader.com,14.99520876112252,56,1,12.91170431211499
highwayrobbery.net,20.999315537303218,40,1,19.003422313483917
ebonmusings.org,21.998631074606433,40,1,20.005475701574266
coinsetter.com,9.998631074606434,119,1,9.00205338809035
globalmidi.com,13.998631074606434,43,1,8.501026694045175
infobaseindex.com,13.998631074606434,112,1,9.095140314852841
northrupphotography.com,13.995893223819301,51,1,8.960985626283367
sarotech.com,23.99726214921287,49,1,23.000684462696782
appsecusa.org,12.999315537303216,56,2,12.002737850787133
asian-university.org,20.0,57,1,14.836413415468858
newsombudsmen.org,22.99794661190965,103,1,21.54688569472964
sur-ron.com,6.997946611909651,40,1,4.941820670773443
vertaler.com,25.9958932238193,50,1,24.48186173853525
zgtaideng.com,2.9979466119096507,49,1,1.9575633127994525
planet-php.net,19.003422313483917,42,1,18.0041067761807
html5sec.org,12.0,47,1,11.370294318959617
renewwisconsin.org,23.000684462696782,57,1,20.57221081451061
spacetimetravel.org,17.998631074606433,49,1,17.00205338809035
bytecool.com,23.000684462696782,49,1,20.906228610540726
helpmemakemyfilm.com,4.999315537303217,43,1,4.002737850787132
kasradesign.com,11.000684462696784,56,1,8.919917864476385
loansecretz.com,0.999315537303217,111,1,0.038329911019849415
michaelfogleman.com,23.000684462696782,49,1,16.057494866529773
ntonyx.com,23.994524298425734,50,1,22.99520876112252
quite.com,26.001368925393567,51,1,24.684462696783026
iloveubuntu.net,12.0,47,1,11.003422313483915
kylerush.net,4.0,56,1,3.0171115674195756
amn.org,25.9958932238193,47,1,24.993839835728952
pinkfloyd-co.com,23.99726214921287,48,1,22.94592744695414
mobilicity.ca,4.999315537303217,116,1,3.0034223134839153
arthursclassicnovels.com,20.0,42,1,19.468856947296374
rnigmatulin.com,11.000684462696784,47,1,10.001368925393566
fedupusa.org,14.99794661190965,43,1,14.015058179329227
irfnet.org,29.00205338809035,239,1,25.83709787816564
britishcustomessay.co.uk,5.9986310746064335,56,1,5.002053388090349
kennettnet.co.uk,8.0,50,1,7.08829568788501
clarkconnect.org,21.998631074606433,119,1,20.865160848733744
csslhb.com,8.999315537303216,109,2,7.770020533880904
avdict.com,0.999315537303217,43,1,0.08487337440109514
zh61.com,4.999315537303217,36,1,4.071184120465435
902527.com,0.999315537303217,51,1,0.5831622176591376
yearconpx.com,1.998631074606434,115,1,0.7748117727583846
f489.com,0.999315537303217,111,1,0.0
956vv.com,0.999315537303217,56,1,0.0
7788clean.com,0.999315537303217,107,2,0.9555099247091033
lgb123.com,4.999315537303217,106,1,3.7700205338809036
demo-space.net,5.9986310746064335,56,1,5.002053388090349
lactom.com,3.0006844626967832,45,1,0.917180013689254
setctp.com,3.0006844626967832,51,1,0.0
vuizi.com,0.999315537303217,46,1,0.0
mgxt.net,1.995893223819302,116,1,1.0294318959616702
gboba.com,0.999315537303217,116,1,1.0349075975359343
mcoak.com,0.999315537303217,220,1,0.0
mnods.com,1.998631074606434,110,1,0.9774127310061602
qg200.com,1.998631074606434,49,1,0.7255304585900069
drmlu.com,0.999315537303217,107,1,0.0027378507871321013
idx-1.com,0.999315537303217,42,1,0.0
gskis.com,0.999315537303217,39,1,0.0
fissn.com,1.998631074606434,236,1,0.0
bdnjk.com,0.999315537303217,49,1,0.0
jyvvv.com,0.999315537303217,107,1,0.0
aizuy.com,2.9979466119096507,46,1,1.9548254620123204
rbzfg.com,1.998631074606434,43,1,1.0047912388774811
fsiri.com,0.999315537303217,116,1,0.0054757015742642025
zkwt.net,2.9979466119096507,40,1,1.8726899383983573
s8f5.com,0.999315537303217,56,1,0.0027378507871321013
hexwo.com,0.999315537303217,109,1,0.5886379192334018
ujenk.com,4.0,42,1,1.7084188911704312
kgjc.net,0.999315537303217,241,1,0.08487337440109514
1kzzx.com,1.998631074606434,107,1,0.9856262833675564
sx5x.com,0.999315537303217,20,1,0.0
yfwt.net,1.002053388090349,115,1,0.0
lv585.com,4.999315537303217,110,1,1.3278576317590691
ct-99.com,0.999315537303217,107,1,0.0
jacnb.com,1.998631074606434,103,1,0.999315537303217
rblr.net,0.999315537303217,119,1,0.0
sbkp.net,0.999315537303217,56,1,0.5147159479808351
kphy.net,0.999315537303217,49,1,0.0
mqng.net,2.9952087611225187,45,1,1.730321697467488
trtrr.com,0.999315537303217,56,1,0.0
p95m.com,1.998631074606434,56,1,0.9965776865160849
hjtz5.com,0.999315537303217,108,1,0.0
pkbp.net,0.999315537303217,44,1,0.0
mrkw.net,0.999315537303217,38,1,0.0
drbj.net,0.999315537303217,115,1,0.24914442162902123
ztns.net,0.999315537303217,43,1,0.0
3361m.com,0.999315537303217,43,2,0.07665982203969883
pbmh.net,0.999315537303217,108,1,0.0
obd6.com,1.995893223819302,116,1,0.0
hjqb.net,0.999315537303217,52,1,0.0
rqkd.net,0.999315537303217,115,1,0.0
rsgt.net,1.998631074606434,48,1,0.9883641341546886
pblk.net,0.999315537303217,44,1,0.0
rxdr.net,1.998631074606434,49,1,1.0978781656399725
tpgq.net,0.999315537303217,108,1,0.0
tphw.net,0.999315537303217,108,1,0.0
ffxl.net,0.999315537303217,107,2,0.0
qmmh.net,1.998631074606434,51,2,0.6652977412731006
zqqs.net,0.999315537303217,112,2,0.0054757015742642025
ecpws.net,5.9986310746064335,103,1,4.85968514715948
hekrg.com,8.0,51,1,6.981519507186858
we-news.com,12.0,49,1,11.003422313483915
jpbitcoin.com,9.998631074606434,40,1,6.075290896646133
happybet188.net,10.99794661190965,56,1,10.001368925393566
milfanaltube.com,7.000684462696783,48,1,5.8699520876112254
freelingerie.us,18.99794661190965,52,1,17.971252566735114
usspin.org,17.998631074606433,46,2,16.919917864476385
tysiphonehelp.com,13.995893223819301,116,1,13.998631074606434
shipai.net,15.000684462696784,115,1,14.042436687200547
ofrudgieri.com,20.999315537303218,44,1,19.822039698836413
china-egg.com,20.999315537303218,50,1,19.082819986310746
yngtgcmy.com,0.999315537303217,115,1,0.0
ftvmilfs.com,9.998631074606434,49,1,8.91170431211499
jacobmartella.com,8.999315537303216,56,1,7.939767282683094
theblindrobin.com,15.000684462696784,52,1,13.94113620807666
yuki-mura.net,13.998631074606434,44,1,12.758384668035593
linkmost.org,8.999315537303216,52,1,8.008213552361397
sxpj365.com,8.999315537303216,52,1,7.545516769336071
netty.fr,22.23134839151266,56,1,13.757700205338809
faqsislam.com,4.999315537303217,119,1,4.002737850787132
pickndecor.com,2.9979466119096507,44,1,1.434633812457221
fleurdelissalon.net,12.996577686516085,46,1,12.0
annraya.net,4.0,49,2,2.9924709103353866
talesoftheprophets.com,4.0,119,1,3.0034223134839153
guideusiptv.com,4.999315537303217,119,1,4.002737850787132
abulqasimpublishers.com,18.99520876112252,119,1,10.340862422997947
societe-francaise-armement-defensif.com,3.0006844626967832,51,1,1.998631074606434
uhozz.com,5.9986310746064335,56,1,4.999315537303217
