cons,active,life,averageTTL,Domain Name
1,20.813141683778234,27.003422313483917,119,bellflower.org
1,13.00205338809035,13.998631074606434,42,designfreebies.org
1,2.973305954825462,5.9986310746064335,116,virtual-augmented.com
1,23.000684462696782,23.99726214921287,52,adultwebmasters.org
1,10.99794661190965,12.0,45,vierstundenkoerper.net
1,7.997262149212868,8.999315537303216,52,smartworks.org.uk
1,20.577686516084874,27.000684462696782,107,humaniq.com
1,12.621492128678987,16.0,54,danji6.com
1,14.012320328542094,14.99794661190965,56,ecadforum.com
1,0.19164955509924708,0.999315537303217,51,windlap.net
1,12.002737850787133,12.999315537303216,56,thecottagemama.com
1,8.895277207392198,9.998631074606434,52,yugtimes.com
1,12.427104722792608,15.498973305954825,51,permisapoints.fr
1,10.537987679671458,11.132101300479125,51,smati-paris.fr
1,0.16700889801505817,0.999315537303217,56,musevenimemo.org
1,9.095140314852841,19.000684462696782,49,4football.com.ua
1,14.313483915126625,15.312799452429843,116,christopherheron.com
1,4.123203285420945,4.999315537303217,56,nortonsetup-norton.com
1,11.958932238193018,12.999315537303216,50,nkjskj.com
1,2.1492128678986995,4.0,47,ashrafinvestment.com
1,18.91854893908282,20.999315537303218,42,limetreerest.com
1,25.919233401779604,27.000684462696782,56,mlk.com
1,12.739219712525667,18.001368925393567,52,thelandryhat.com
1,23.000684462696782,23.99726214921287,56,motivi.com
1,17.66461327857632,24.0,51,ntreis.net
1,9.138945927446954,9.998631074606434,221,digitallearn.org
1,23.96167008898015,24.996577686516083,56,igcouncil.org
1,6.0013689253935665,7.000684462696783,51,badgerbelle.co.uk
1,17.00205338809035,17.9958932238193,48,vietnamprivatetours.com
1,14.962354551676933,16.0,47,ito-alamogordo.com
1,8.002737850787133,8.999315537303216,46,legionofleia.com
1,0.9363449691991786,1.998631074606434,56,opxaiey.com
1,7.9808350444900755,12.0,119,yourvirtualofficelondon.co.uk
1,3.033538672142368,3.0006844626967832,116,alriyadh-news.com
1,9.95482546201232,11.000684462696784,45,izuminki.com
1,3.9397672826830936,5.9986310746064335,49,hitechaccessoriesmd.com
1,3.9863107460643397,4.999315537303217,102,sytsjkj.com
1,20.95003422313484,21.998631074606433,47,webtimemedias.com
2,19.003422313483917,20.0,56,annapurnapost.com
1,5.639972621492129,5.9986310746064335,43,kbao001.com
1,11.879534565366187,12.876112251882272,44,miccostumes.com
1,14.74880219028063,16.0,56,woaidiannao.com
1,4.930869267624915,5.9986310746064335,56,free-bitcoin.info
1,4.960985626283367,5.9986310746064335,44,instituteofnext.com
1,6.023271731690623,6.997946611909651,50,penny-stock-social.com
1,14.015058179329227,14.99794661190965,49,rmrevestimentos.com
1,14.984257357973991,16.0,49,les-infostrateges.com
1,8.002737850787133,8.999315537303216,56,onlabor.org
1,21.913757700205338,24.0,52,auto-europe.co.uk
1,13.013004791238878,17.998631074606433,57,farmburger.com
1,4.15605749486653,5.9986310746064335,242,fordgobike.com
1,17.963039014373717,20.0,114,softether.net
1,7.003422313483915,8.0,56,excellesports.com
1,1.9904175222450375,3.0006844626967832,56,compucelunlock.net
1,6.308008213552362,9.998631074606434,56,odyseaaquarium.com
1,0.0,0.999315537303217,107,tudonovale.com
1,20.191649555099247,30.001368925393567,57,universalstandard.com
1,11.38672142368241,12.0,45,muma-lehavre.fr
1,20.66255989048597,23.99726214921287,48,chanticleergarden.org
1,14.688569472963723,16.0,56,ta7a.com
1,6.910335386721424,8.0,56,nerjalivingspace.com
1,9.00205338809035,9.998631074606434,47,stpaulandthebrokenbones.com
1,3.7234770704996576,4.999315537303217,107,ndsbbs.com
1,22.95687885010267,23.99726214921287,52,oldorchard.com
1,6.91854893908282,8.0,56,thedreamcorps.org
1,4.837782340862423,8.0,50,thedragonstrap.com
1,15.865845311430528,16.865160848733744,50,ariklevy.fr
1,0.0,0.999315537303217,116,horsedigital.net
1,12.2984257357974,12.999315537303216,43,santamariaschool.org
1,0.08213552361396304,0.999315537303217,110,fans-union.com
1,5.519507186858316,7.000684462696783,43,alko-tech.com
1,21.201916495550993,21.998631074606433,54,ukrindustrial.com
1,22.702258726899384,23.701574264202602,236,anrs.fr
1,19.99726214921287,20.993839835728952,56,scarves.net
1,19.550992470910334,23.000684462696782,46,doleplantation.com
1,6.959616700889802,12.0,51,isumsoft.com
1,10.951403148528405,12.0,46,vegangela.com
