Domain Name,life,active,averageTTL,cons
musictoday.com,24.996577686516083,24.0,56,1
buyvlaqra.com,1.998631074606434,1.1197809719370295,56,1
tuscaloosanews.com,25.9958932238193,24.407939767282684,53,1
donorbox.org,8.999315537303216,7.917864476386037,56,1
oliveogrill.com,13.998631074606434,12.971937029431896,47,1
horiba.com,27.99726214921287,26.83915126625599,43,1
qudong.com,22.001368925393567,19.003422313483917,40,1
phpwind.net,20.0,17.87816563997262,19,1
kaushik.net,24.996577686516083,23.94524298425736,48,1
c-way.com.ua,12.999315537303216,11.983572895277208,46,1
darkroastedblend.com,16.999315537303218,15.003422313483915,119,1
ankiweb.net,12.0,10.91854893908282,46,1
scissorthemes.com,8.999315537303216,8.002737850787133,42,1
delonghi.com,24.996577686516083,23.98631074606434,57,1
ncpa.org,26.99794661190965,26.001368925393567,57,1
canadadrugshtwi.com,0.999315537303217,1.002053388090349,49,1
juegosdemariobros.tv,13.998631074606434,13.00205338809035,119,1
pitchbook.com,18.99794661190965,18.001368925393567,57,1
hotcom-web.com,13.998631074606434,12.898015058179329,44,1
ejohn.org,21.998631074606433,21.905544147843944,116,1
asean.org,24.0,16.410677618069816,51,1
hcch.net,24.996577686516083,23.99726214921287,56,2
wng.org,23.000684462696782,21.908281998631075,56,1
rudaw.net,14.99794661190965,13.957563312799453,53,1
alexandermcqueen.com,21.998631074606433,20.917180013689254,51,1
triumph.com,27.99726214921287,26.986995208761122,43,1
greenwichtime.com,24.0,22.989733059548254,239,1
sco.com,34.997946611909654,33.95756331279945,51,1
eklablog.net,16.0,14.902121834360027,50,1
rabobank.com,26.99520876112252,25.270362765229294,52,1
agriculture.com,27.99726214921287,26.910335386721425,231,1
fsb.org.uk,25.998631074606433,23.980835044490075,56,1
tube8.com,17.998631074606433,14.11088295687885,56,1
corneey.com,5.9986310746064335,5.004791238877481,56,1
coursehero.com,15.000684462696784,14.004106776180699,56,1
aciprensa.com,25.99315537303217,20.960985626283367,56,1
futureoflife.org,25.00205338809035,16.10677618069815,56,1
osram.com,24.0,22.989733059548254,235,1
wrc.com,26.99520876112252,25.982203969883642,119,1
flyertalk.com,23.644079397672826,22.647501711156742,56,1
photobox.co.uk,23.000684462696782,21.982203969883642,244,1
stratechery.com,12.0,8.804928131416839,54,1
mrmoneymustache.com,12.0,10.962354551676933,48,1
sixt.com,24.996577686516083,24.78302532511978,56,1
kahoot.com,23.994524298425734,22.981519507186857,57,1
pocketgamer.com,26.001368925393567,22.0041067761807,56,1
colorschemedesigner.com,13.998631074606434,12.958247775496236,56,1
moneymorning.com,19.000684462696782,18.0041067761807,225,1
lyon.fr,22.209445585215605,21.21013004791239,240,1
corpwatch.org,25.9958932238193,24.914442162902123,57,1
kik.com,24.851471594798085,19.852156057494867,15,1
buyciproonline.com,0.999315537303217,0.049281314168377825,56,1
toyota-global.com,16.999315537303218,15.88227241615332,54,1
the-gadgeteer.com,24.996577686516083,24.0,49,1
webpagefx.com,22.001368925393567,16.919917864476385,232,1
linkwan.com,24.999315537303218,21.56605065023956,111,1
zikao365.com,22.99794661190965,19.72895277207392,42,1
no.net,28.996577686516083,27.71252566735113,43,1
hechingerreport.org,12.999315537303216,11.917864476386036,54,1
carrefour.fr,19.638603696098563,15.655030800821356,50,1
whufc.com,31.42778918548939,24.484599589322382,56,1
hbj-gaming.com,5.9986310746064335,4.985626283367557,56,1
pogo.com,28.00273785078713,26.99247091033539,54,1
ourgame.com,27.000684462696782,21.31416837782341,233,1
childline.org.uk,25.998631074606433,24.98836413415469,56,1
mhi.com,24.66803559206023,23.581108829568787,31,1
bitcoinexchangeguide.com,8.999315537303216,8.002737850787133,56,1
ridley77.com,20.0,18.965092402464066,56,1
publicintelligence.net,16.0,11.835728952772074,46,1
awea.org,25.9958932238193,24.999315537303218,119,1
dedecmser.com,9.998631074606434,8.914442162902121,52,1
pv-magazine.com,13.998631074606434,12.996577686516085,57,1
additudemag.com,28.993839835728952,23.238877481177276,57,2
sustainablebrands.com,21.9958932238193,20.999315537303218,56,1
csgnetwork.com,23.99726214921287,22.99794661190965,116,1
chomsky.info,20.999315537303218,20.33949349760438,50,1
endojournals.org,22.99794661190965,17.78781656399726,239,1
trolltech.com,27.000684462696782,25.984941820670773,119,1
themarker.com,26.001368925393567,20.878850102669404,57,1
eturbonews.com,23.000684462696782,17.83983572895277,56,1
freewebspace.com,26.99794661190965,21.357973990417523,56,1
qiushibaike.com,16.999315537303218,15.572895277207392,42,1
ldonline.org,33.9958932238193,23.99726214921287,50,1
psych.org,30.99794661190965,25.908281998631075,55,1
clickdimensions.com,14.001368925393566,10.63107460643395,42,1
dailybulletin.com,25.9958932238193,24.985626283367555,54,1
carm.org,30.001368925393567,24.37782340862423,49,1
electronjs.org,4.999315537303217,2.729637234770705,244,1
clevescene.com,24.0,23.003422313483917,56,1
mom.me,16.0,13.990417522245037,57,1
sothebysrealty.com,25.9958932238193,19.613963039014372,119,1
somersethouse.org.uk,17.998631074606433,16.016427104722794,51,1
