averageTTL,active,Domain Name,cons,life
49,7.019849418206708,rightproperbrewing.com,1,9.00205338809035
47,3.0006844626967832,untdweb.com,1,3.997262149212868
56,3.0088980150581794,wallhax.com,1,12.999315537303216
50,17.861738535249827,ensaama.net,1,27.000684462696782
56,14.91854893908282,rewardinglearning.org.uk,1,16.0
56,16.0,alexfink.com,1,16.999315537303218
49,3.0034223134839153,closeupcheck.com,1,5.9986310746064335
50,12.002737850787133,euroclubindex.com,1,12.999315537303216
119,0.31485284052019163,gracebelgravia.com,1,1.998631074606434
49,15.003422313483915,livreforum.com,1,16.0
42,5.973990417522245,mahmutisci.com,1,6.997946611909651
52,4.331279945242985,sfylj.com,1,5.9986310746064335
48,8.002737850787133,open-roberta.org,1,8.999315537303216
51,9.982203969883642,vibiza.co.uk,1,12.0
45,6.97056810403833,4istoshop.com,1,8.0
56,0.9555099247091033,invoice-factoring-information.com,1,1.998631074606434
48,16.95277207392197,midoritech.com,1,17.998631074606433
56,4.002737850787132,roomvu.com,2,4.999315537303217
54,21.45927446954141,carecen-la.org,1,29.998631074606433
47,14.759753593429158,herbcraft.org,1,18.99794661190965
47,5.0130047912388775,roymoore.org,1,6.997946611909651
56,6.97056810403833,winclub88.co,1,7.997262149212868
111,0.0,2side2pills.com,1,0.999315537303217
49,19.73990417522245,5857.com,1,28.0
55,4.958247775496235,lifewithvigor.com,1,5.9986310746064335
108,12.24914442162902,malltop1.com,1,15.000684462696784
44,24.870636550308006,pansandcompany.com,1,26.001368925393567
52,7.989048596851472,rhmodern.com,1,8.999315537303216
47,14.420260095824778,scadametrics.com,1,19.416837782340863
49,0.0027378507871321013,jakandjil.fr,1,1.002053388090349
56,5.631759069130732,serwisploterow.net,1,7.000684462696783
46,12.358658453114305,thaichamber.org,1,16.0
47,6.962354551676934,naturalhealingmagazine.com,1,8.0
42,17.352498288843258,redhouseon7th.com,1,20.0
103,12.002737850787133,urbanwinetrailsb.com,1,12.999315537303216
49,9.938398357289527,katalogseo24.net,1,10.99794661190965
119,23.838466803559207,angeltree.org,1,29.00479123887748
50,5.678302532511978,freethehikers.org,1,7.000684462696783
51,6.0889801505817935,underthescopefoundation.org,1,8.0
56,5.932922655715264,domraider.com,1,7.000684462696783
44,13.00205338809035,restaurant-aqua.com,1,13.998631074606434
52,19.967145790554415,sexcia.com,1,22.001368925393567
113,22.001368925393567,tavrida.com,1,23.000684462696782
48,7.025325119780972,templar-eis.com,1,8.999315537303216
54,20.00273785078713,timelinemaker.com,1,20.999315537303218
56,19.000684462696782,ajrsrc.com,1,20.0
57,6.028747433264887,gibbonswhistler.com,1,8.02464065708419
42,11.537303216974674,hungryrabbitnyc.com,1,13.998631074606434
43,16.17248459958932,js96777.com,1,19.99726214921287
57,15.000684462696784,marvimon.com,1,20.0
46,9.552361396303901,morgantaylorlacquer.com,1,10.99794661190965
119,2.212183436002738,reportingexperts.com,1,3.0006844626967832
111,5.070499657768652,roseatehotels.com,1,9.998631074606434
223,8.008213552361397,sleafordmods.com,1,17.998631074606433
56,8.917180013689254,techotv.com,1,9.998631074606434
43,8.996577686516085,thegurgaoncallgirls.com,1,9.998631074606434
56,5.971252566735113,uniquehunters.com,1,12.0
56,14.836413415468858,vintagepaperads.com,1,20.0
49,18.12457221081451,aandewiel.info,2,19.000684462696782
52,10.004106776180699,themifydemo.me,1,11.000684462696784
56,8.826830937713895,dallascitynews.net,1,9.998631074606434
49,16.00273785078713,mairetecnimont.com,1,16.999315537303218
56,0.0054757015742642025,waterfrontgoldens.com,1,0.999315537303217
44,21.930184804928132,welcomenz.com,1,22.99794661190965
56,8.334017796030116,enacalculatoare.net,1,8.999315537303216
56,4.985626283367557,pokerplay338.net,1,5.9986310746064335
