active,cons,life,averageTTL,Domain Name
3.0362765229295,1,4.0,56,cbdoilamericano.com
13.859000684462696,1,16.0,56,knightfoundation.org
19.84394250513347,1,24.999315537303218,48,rateyourmusic.com
21.965776865160848,1,30.99794661190965,239,flytap.com
6.915811088295688,1,8.0,56,talosintelligence.com
16.711841204654345,1,19.000684462696782,56,siliconera.com
21.078713210130047,1,22.075290896646134,240,chambermaster.com
24.985626283367555,1,25.9958932238193,231,phaidon.com
4.867898699520876,1,14.001368925393566,116,imcreator.com
25.9958932238193,1,26.99794661190965,52,csicop.org
16.914442162902123,1,17.998631074606433,48,pfsense.org
23.173169062286107,1,24.993839835728952,56,hotscripts.com
7.983572895277208,1,9.998631074606434,40,xiumi.us
18.0041067761807,1,19.000684462696782,56,bulbagarden.net
24.008213552361397,1,30.0041067761807,56,cis.org
26.21218343600274,1,32.99931553730322,56,monthlyreview.org
2.00684462696783,1,3.0006844626967832,116,cialisnorx.com
3.0034223134839153,1,4.0,47,bitcapblog.com
7.923340177960301,1,8.999315537303216,56,alaraby.co.uk
25.259411362080765,1,27.99726214921287,119,naic.org
6.978781656399726,1,12.0,116,optinmonster.com
15.003422313483915,1,16.0,50,expo2015.org
1.5742642026009583,1,1.998631074606434,56,littleandbiggreenballlon.com
22.833675564681723,1,24.996577686516083,48,ajcn.org
25.924709103353866,1,27.000684462696782,50,audio-technica.com
19.737166324435318,1,20.813141683778234,50,zdnet.fr
24.99110198494182,1,26.001368925393567,56,opengl.org
22.885694729637233,1,24.0,244,creativereview.co.uk
7.014373716632443,1,8.999315537303216,54,revealnews.org
22.1492128678987,1,27.99726214921287,57,wishtv.com
6.0041067761806985,1,8.0,56,doubledubs.com
26.442162902121833,1,27.99726214921287,53,pjstar.com
24.95277207392197,1,25.9958932238193,244,nikkansports.com
24.1533196440794,1,24.996577686516083,56,memri.org
23.906913073237508,1,26.1492128678987,35,51.net
24.747433264887064,1,26.99520876112252,239,pandasoftware.com
8.810403832991103,1,9.998631074606434,56,convertkit.com
16.73100616016427,1,20.0,56,canadafreepress.com
16.944558521560573,1,25.998631074606433,56,marginalrevolution.com
1.998631074606434,1,2.9979466119096507,239,webmonkey.com
18.99794661190965,2,20.0,53,iccsafe.org
19.000684462696782,1,20.996577686516083,56,hobbyking.com
24.0,1,24.996577686516083,53,maserati.com
24.840520191649556,1,29.9958932238193,47,firstmonday.org
15.731690622861054,1,24.999315537303218,51,alphacoders.com
13.00205338809035,2,13.998631074606434,57,ellenmacarthurfoundation.org
15.917864476386036,1,16.999315537303218,46,macports.org
19.87953456536619,1,27.701574264202602,47,ymlp.com
8.999315537303216,2,19.000684462696782,56,99percentinvisible.org
24.410677618069816,1,33.99315537303217,56,devx.com
5.965776865160849,1,6.997946611909651,53,fitnesscabbage.com
22.913073237508556,1,24.999315537303218,56,genealogy.com
10.992470910335387,1,12.0,52,mojkgb.com
8.262833675564682,3,9.998631074606434,56,www.royal.uk
19.917864476386036,1,23.000684462696782,103,graphviz.org
20.922655715263517,1,21.998631074606433,55,rbcroyalbank.com
25.987679671457904,1,26.99794661190965,54,wavy.com
19.613963039014372,1,24.0,54,kali.org
24.49555099247091,1,29.9958932238193,54,improbable.com
22.24229979466119,1,23.99726214921287,57,markmonitor.com
18.258726899383984,1,23.225188227241617,240,volny.cz
24.985626283367555,1,25.9958932238193,57,bergdorfgoodman.com
