cons,averageTTL,active,life,Domain Name,target
1,56,16,16.99931554,hanselminutes.com,0
1,42,24.03832991,25.0349076,onocom.co.jp,0
1,46,19.90143737,28.99931554,softwaremaniacs.org,0
2,119,2.143737166,4,roomorama.com,0
1,244,19.86584531,23.9945243,driversed.com,0
1,27,9.002053388,9.998631075,mro-network.com,0
1,56,24.93086927,25.99315537,bossaudio.com,0
1,244,22.90485969,24,russellbeattie.com,0
1,56,8.375085558,12,commercialintegrator.com,0
1,49,22.00410678,23.00068446,readinggroupguides.com,0
1,55,26.99247091,28.00273785,dechert.com,0
1,56,20.79123888,29.99863107,boxden.com,0
1,49,21.91649555,22.99794661,greenroofs.org,0
1,119,22.00136893,22.99794661,scholarshipexperts.com,0
1,116,14.91307324,16,bumptop.com,0
1,51,24,32.99657769,abelard.org,0
1,44,18.00136893,18.99794661,imgspot.com,0
1,54,10.01232033,20,creativecdn.com,0
1,241,20.83778234,24,edacinc.org,0
1,49,18.93497604,20,hotmatchup.com,0
1,46,22.11909651,23.00068446,stay-ok.com,0
1,241,14.83641342,18.00136893,useitup.org,0
1,241,24.91718001,25.99589322,kd-elektronik.com,0
1,48,21.59890486,24,ewritersplace.com,0
2,39,8,8.996577687,lxxzyy.net,0
1,42,19.00068446,20,itwissen.info,0
1,52,16.77207392,25.08145106,nazory.cz,0
1,46,8.958247775,9.998631075,hatchsandwich.com,0
1,46,7.006160164,8,otienoamisilaw.com,0
1,116,0.125941136,0.999315537,sharedworking.space,0
1,50,4,4.996577687,escritonasestrelas.com,0
1,57,7.972621492,8.999315537,tommusrhodus.com,0
1,236,21.76591376,22.99794661,estadiodeportivo.com,0
1,229,21.9028063,22.99794661,subbrit.org.uk,0
1,116,3.033538672,4,betebet81.com,0
1,49,4.971937029,5.998631075,team7m.com,0
1,46,21.00205339,21.99863107,infomotori.com,0
1,116,20.91170431,21.99863107,dresslink.com,0
1,49,0,4.999315537,hditsolutions.com,0
1,243,6.836413415,8,spotx.tv,0
1,46,2.997946612,7.997262149,utptokyo.com,0
2,50,5.897330595,7.000684463,ottclub.cc,0
1,50,25.07597536,26.07255305,fondationbrigittebardot.fr,0
1,48,4.873374401,5.998631075,hubgravita.com,0
1,119,10.00136893,12.99931554,pcgnashville.com,0
1,232,22.90485969,24,newhamrecorder.co.uk,0
1,56,7.978097194,8.999315537,tfehotels.com,0
1,32,21.908282,22.99794661,hvac-talk.com,0
1,49,16.46269678,19.00068446,austintheatre.org,0
1,56,24.92265572,26.00136893,baps.org,0
1,51,8.002737851,8.996577687,votrecoffrefort.com,0
1,52,23.07460643,27.00068446,ridetech.com,0
1,231,16.57768652,17.99863107,djcoregon.com,0
1,47,13.99863107,14.99794661,hollywoodstorm.com,0
1,224,0,2.997946612,toptorrents.top,0
1,56,7.997262149,8.999315537,graphiteapp.org,0
1,51,15.07734428,16,sequart.org,0
1,52,5.98220397,6.995208761,k2vb.com,0
1,51,19.11293634,24,farenet.org,0
1,56,3.986310746,7.000684463,wem88.com,0
2,47,6.004106776,6.997946612,issabove.info,0
1,116,10.91307324,12,sparrowmailapp.com,0
1,56,18.91854894,20,carlsalter.com,0
1,52,22.00136893,22.99794661,yabla.com,0
1,233,26.0698152,27.99726215,euroclear.com,0
1,50,16.60232717,17.99863107,mikasounds.com,0
1,39,10.00136893,10.99794661,leapzipblog.com,0
1,46,8.002737851,9.998631075,americasuits.com,0
1,39,8.692676249,9.998631075,meiyiheng.com,0
1,241,21.00205339,21.99863107,beatsandrhymes.com,0
1,106,16.36687201,17.99863107,shouji56.com,0
1,241,15.17590691,20.99931554,runlikeagirl.com,0
1,237,15.10198494,16,vacacionesconsoltour.info,0
1,48,2.918548939,4,placeways.org,0
1,46,14.00136893,16.99931554,rainmaker-gbd.com,0
1,241,17.83436003,20.99931554,homelessveteran.org,0
1,241,22.00410678,23.00068446,fsbofinder.com,0
1,87,5.002053388,4.999315537,raqzz.com,0
1,54,14.98973306,16,newscorpaustralia.com,0
1,56,25.98494182,26.99794661,negocios.com,0
1,56,4.254620123,5.998631075,etimesgutevdeneve-nakliyat.com,0
1,45,10.99247091,12,hracghana.org,0
1,56,13.9137577,14.99794661,lilwaynehq.com,0
1,50,7.857631759,8.999315537,storybrand.com,0
1,56,10.01505818,10.99794661,inmigraacanada.com,0
1,109,8.999315537,13.99863107,awarenessdays.com,0
1,56,7.345653662,16.99931554,90agent.com,0
1,39,6.995208761,8,konacoffeeinc.com,0
1,40,2.778918549,4,topcraftmedia.net,0
1,52,1.103353867,18.99794661,kotata-zlin.cz,0
1,49,3.934291581,4.999315537,yan-lei.com,0
1,40,2.778918549,4,yumehanamedia.net,0
1,43,3.917864476,4.999315537,uksolarpanel.co.uk,0
1,49,15.99726215,16.99931554,aboutgo.com,0
2,44,0,0.999315537,88fpw.com,0
1,57,5.004791239,10.00136893,chiromaxacquisitions.com,0
1,103,21.2238193,21.99863107,contextures.com,0
1,47,12.98836413,13.99863107,mawaevents.com,0
1,45,3.958932238,4.999315537,oceanorosa.com,0
1,56,20.91170431,22.99794661,myalcon.com,0
1,52,6.751540041,9.998631075,cytairtool.com,0
1,56,8.947296372,9.998631075,indiansss.org,0
1,219,17.42368241,18.99794661,motorsportreg.com,0
1,56,4.832306639,13.99863107,pivx.org,0
